Age,Year,Type of Registration,All ages  
25 - 29,1948,Within Marriage (or Civil Partnership),238855
25 - 29,1949,Within Marriage (or Civil Partnership),235455
25 - 29,1950,Within Marriage (or Civil Partnership),220247
25 - 29,1951,Within Marriage (or Civil Partnership),211296
25 - 29,1952,Within Marriage (or Civil Partnership),207006
25 - 29,1953,Within Marriage (or Civil Partnership),209669
25 - 29,1954,Within Marriage (or Civil Partnership),204968
25 - 29,1955,Within Marriage (or Civil Partnership),205586
25 - 29,1956,Within Marriage (or Civil Partnership),215733
25 - 29,1957,Within Marriage (or Civil Partnership),223448
25 - 29,1958,Within Marriage (or Civil Partnership),226736
25 - 29,1959,Within Marriage (or Civil Partnership),225982
25 - 29,1960,Within Marriage (or Civil Partnership),234577
25 - 29,1961,Within Marriage (or Civil Partnership),239227
25 - 29,1962,Within Marriage (or Civil Partnership),245634
25 - 29,1963,Within Marriage (or Civil Partnership),251806
25 - 29,1964,Within Marriage (or Civil Partnership),258552
25 - 29,1965,Within Marriage (or Civil Partnership),251057
25 - 29,1966,Within Marriage (or Civil Partnership),241892
25 - 29,1967,Within Marriage (or Civil Partnership),231914
25 - 29,1968,Within Marriage (or Civil Partnership),229123
25 - 29,1969,Within Marriage (or Civil Partnership),227237
25 - 29,1970,Within Marriage (or Civil Partnership),227232
25 - 29,1971,Within Marriage (or Civil Partnership),235701
25 - 29,1972,Within Marriage (or Civil Partnership),236552
25 - 29,1973,Within Marriage (or Civil Partnership),233363
25 - 29,1974,Within Marriage (or Civil Partnership),225643
25 - 29,1975,Within Marriage (or Civil Partnership),216141
25 - 29,1976,Within Marriage (or Civil Partnership),211035
25 - 29,1977,Within Marriage (or Civil Partnership),198158
25 - 29,1978,Within Marriage (or Civil Partnership),200167
25 - 29,1979,Within Marriage (or Civil Partnership),209796
25 - 29,1980,Within Marriage (or Civil Partnership),209976
25 - 29,1981,Within Marriage (or Civil Partnership),201460
25 - 29,1982,Within Marriage (or Civil Partnership),195839
25 - 29,1983,Within Marriage (or Civil Partnership),196162
25 - 29,1984,Within Marriage (or Civil Partnership),197401
25 - 29,1985,Within Marriage (or Civil Partnership),203272
25 - 29,1986,Within Marriage (or Civil Partnership),201323
25 - 29,1987,Within Marriage (or Civil Partnership),206036
25 - 29,1988,Within Marriage (or Civil Partnership),205292
25 - 29,1989,Within Marriage (or Civil Partnership),200961
25 - 29,1990,Within Marriage (or Civil Partnership),204701
25 - 29,1991,Within Marriage (or Civil Partnership),196281
25 - 29,1992,Within Marriage (or Civil Partnership),188928
25 - 29,1993,Within Marriage (or Civil Partnership),178456
25 - 29,1994,Within Marriage (or Civil Partnership),170605
25 - 29,1995,Within Marriage (or Civil Partnership),157855
25 - 29,1996,Within Marriage (or Civil Partnership),148770
25 - 29,1997,Within Marriage (or Civil Partnership),139383
25 - 29,1998,Within Marriage (or Civil Partnership),130747
25 - 29,1999,Within Marriage (or Civil Partnership),120716
25 - 29,2000,Within Marriage (or Civil Partnership),111606
25 - 29,2001,Within Marriage (or Civil Partnership),103131
25 - 29,2002,Within Marriage (or Civil Partnership),97583
25 - 29,2003,Within Marriage (or Civil Partnership),98694
25 - 29,2004,Within Marriage (or Civil Partnership),98539
25 - 29,2005,Within Marriage (or Civil Partnership),99957
25 - 29,2006,Within Marriage (or Civil Partnership),103348
25 - 29,2007,Within Marriage (or Civil Partnership),106603
25 - 29,2008,Within Marriage (or Civil Partnership),110353
25 - 29,2009,Within Marriage (or Civil Partnership),108499
25 - 29,2010,Within Marriage (or Civil Partnership),108465
25 - 29,2011,Within Marriage (or Civil Partnership),107383
25 - 29,2012,Within Marriage (or Civil Partnership),106555
25 - 29,2013,Within Marriage (or Civil Partnership),102106
25 - 29,2014,Within Marriage (or Civil Partnership),99642
25 - 29,2015,Within Marriage (or Civil Partnership),97465
